         2011094 function calls (1975504 primitive calls) in 3.133 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2493    0.000    0.000    0.000    0.000 _docscrape.py:153(__getitem__)
      584    0.000    0.000    0.000    0.000 _docscrape.py:156(__setitem__)
      475    0.000    0.000    0.000    0.000 _docscrape.py:16(strip_blank_lines)
     1483    0.004    0.000    0.008    0.000 _docscrape.py:168(_is_at_section)
      356    0.000    0.000    0.000    0.000 _docscrape.py:188(_strip)
      423    0.001    0.000    0.016    0.000 _docscrape.py:201(_read_to_next_section)
      428    0.001    0.000    0.016    0.000 _docscrape.py:212(_read_sections)
      143    0.001    0.000    0.012    0.000 _docscrape.py:224(_parse_param_list)
        1    0.000    0.000    0.000    0.000 _docscrape.py:25(Reader)
      215    0.000    0.000    0.000    0.000 _docscrape.py:28(__init__)
       42    0.000    0.000    0.001    0.000 _docscrape.py:290(_parse_see_also)
       86    0.000    0.000    0.000    0.000 _docscrape.py:303(parse_item_name)
       72    0.000    0.000    0.003    0.000 _docscrape.py:366(_parse_summary)
       72    0.000    0.000    0.000    0.000 _docscrape.py:374(<listcomp>)
       72    0.001    0.000    0.034    0.000 _docscrape.py:388(_parse)
       72    0.000    0.000    0.000    0.000 _docscrape.py:393(<setcomp>)
      754    0.000    0.000    0.000    0.000 _docscrape.py:403(<genexpr>)
    10856    0.001    0.000    0.001    0.000 _docscrape.py:43(__getitem__)
      370    0.000    0.000    0.000    0.000 _docscrape.py:454(_str_header)
      602    0.000    0.000    0.000    0.000 _docscrape.py:457(_str_indent)
      602    0.000    0.000    0.000    0.000 _docscrape.py:458(<listcomp>)
      287    0.000    0.000    0.000    0.000 _docscrape.py:46(reset)
       70    0.000    0.000    0.000    0.000 _docscrape.py:460(_str_signature)
       70    0.000    0.000    0.000    0.000 _docscrape.py:465(_str_summary)
       70    0.000    0.000    0.000    0.000 _docscrape.py:470(_str_extended_summary)
      630    0.001    0.000    0.002    0.000 _docscrape.py:475(_str_param_list)
      475    0.000    0.000    0.000    0.000 _docscrape.py:49(read)
      280    0.000    0.000    0.000    0.000 _docscrape.py:491(_str_section)
       70    0.000    0.000    0.000    0.000 _docscrape.py:499(_str_see_also)
       70    0.000    0.000    0.000    0.000 _docscrape.py:531(_str_index)
       70    0.000    0.000    0.003    0.000 _docscrape.py:548(__str__)
     2894    0.002    0.000    0.002    0.000 _docscrape.py:57(seek_next_non_empty_line)
      660    0.000    0.000    0.007    0.000 _docscrape.py:573(dedent_lines)
        1    0.000    0.000    0.000    0.000 _docscrape.py:578(FunctionDoc)
       68    0.000    0.000    0.048    0.001 _docscrape.py:579(__init__)
       68    0.000    0.000    0.000    0.000 _docscrape.py:591(get_func)
       68    0.000    0.000    0.003    0.000 _docscrape.py:599(__str__)
        1    0.000    0.000    0.000    0.000 _docscrape.py:615(ObjDoc)
        1    0.000    0.000    0.000    0.000 _docscrape.py:623(ClassDoc)
        4    0.000    0.000    0.007    0.002 _docscrape.py:626(__init__)
    12474    0.002    0.000    0.003    0.000 _docscrape.py:64(eof)
       54    0.000    0.000    0.000    0.000 _docscrape.py:658(splitlines_x)
     1886    0.004    0.000    0.009    0.000 _docscrape.py:67(read_to_condition)
        4    0.000    0.000    0.001    0.000 _docscrape.py:680(methods)
        4    0.000    0.000    0.000    0.000 _docscrape.py:684(<listcomp>)
        4    0.000    0.000    0.001    0.000 _docscrape.py:694(properties)
        4    0.000    0.000    0.000    0.000 _docscrape.py:698(<listcomp>)
      108    0.000    0.000    0.000    0.000 _docscrape.py:713(_should_skip_member)
      108    0.000    0.000    0.000    0.000 _docscrape.py:724(_is_show_member)
     1411    0.001    0.000    0.008    0.000 _docscrape.py:77(read_to_next_empty_line)
     7952    0.001    0.000    0.002    0.000 _docscrape.py:80(is_empty)
      475    0.000    0.000    0.003    0.000 _docscrape.py:85(read_to_next_unindented_line)
     2201    0.001    0.000    0.001    0.000 _docscrape.py:86(is_unindented)
     3734    0.001    0.000    0.002    0.000 _docscrape.py:91(peek)
        1    0.000    0.000    0.000    0.000 _docstring.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _docstring.py:110(__init__)
       22    0.000    0.000    0.000    0.000 _docstring.py:113(register)
  128/117    0.000    0.000    0.020    0.000 _docstring.py:122(__call__)
      105    0.000    0.000    0.000    0.000 _docstring.py:130(copy)
      105    0.000    0.000    0.000    0.000 _docstring.py:132(do_copy)
        1    0.000    0.000    0.000    0.000 _docstring.py:28(decorator)
        1    0.000    0.000    0.000    0.000 _docstring.py:34(Substitution)
        1    0.000    0.000    0.000    0.000 _docstring.py:6(kwarg_doc)
       10    0.000    0.000    0.000    0.000 _docstring.py:61(__init__)
       10    0.000    0.000    0.000    0.000 _docstring.py:66(__call__)
        1    0.000    0.000    0.000    0.000 _docstring.py:72(_ArtistKwdocLoader)
       14    0.000    0.000    0.017    0.001 _docstring.py:73(__missing__)
       28    0.000    0.000    0.001    0.000 _docstring.py:79(<genexpr>)
        1    0.000    0.000    0.000    0.000 _docstring.py:86(_ArtistPropertiesSubstitution)
        1    0.000    0.000    0.000    0.000 _dok.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _dok.py:18(_dok_base)
        1    0.000    0.000    0.000    0.000 _dok.py:559(dok_array)
        1    0.000    0.000    0.000    0.000 _dok.py:612(dok_matrix)
        1    0.000    0.000    0.000    0.000 _dtype.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _dtype_ctypes.py:1(<module>)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:103(dtype_from_ctypes_type)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:74(_from_ctypes_scalar)
        1    0.000    0.000    0.006    0.006 _dtype_like.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _dtype_like.py:66(_DTypeDictBase)
        1    0.000    0.000    0.000    0.000 _dtype_like.py:72(_DTypeDict)
        1    0.000    0.000    0.000    0.000 _dtype_like.py:82(_SupportsDType)
        1    0.000    0.000    0.001    0.001 _dual_annealing.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _dual_annealing.py:129(EnergyState)
        1    0.000    0.000    0.000    0.000 _dual_annealing.py:20(VisitingDistribution)
        1    0.000    0.000    0.000    0.000 _dual_annealing.py:212(StrategyChain)
        1    0.000    0.000    0.000    0.000 _dual_annealing.py:366(ObjectiveFunWrapper)
        1    0.000    0.000    0.000    0.000 _dual_annealing.py:384(LocalSearchWrapper)
        1    0.000    0.000    0.000    0.000 _elementwise_iterative_method.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _ellip_harm.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:73(_QByteMap)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:23(_swapped_meta)
        1    0.000    0.000    0.000    0.000 _endian.py:46(BigEndianStructure)
        1    0.000    0.000    0.002    0.002 _entropy.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _enums.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _enums.py:105(<listcomp>)
        1    0.000    0.000    0.000    0.000 _enums.py:109(CapStyle)
        1    0.000    0.000    0.000    0.000 _enums.py:17(JoinStyle)
        1    0.000    0.000    0.000    0.000 _enums.py:171(<listcomp>)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _exceptions.py:116(_ArrayMemoryError)
        6    0.000    0.000    0.000    0.000 _exceptions.py:17(_display_as_base)
        1    0.000    0.000    0.000    0.000 _exceptions.py:32(UFuncTypeError)
        1    0.000    0.000    0.000    0.000 _exceptions.py:38(_UFuncNoLoopError)
        1    0.000    0.000    0.000    0.000 _exceptions.py:56(_UFuncBinaryResolutionError)
        1    0.000    0.000    0.000    0.000 _exceptions.py:71(_UFuncCastingError)
        1    0.000    0.000    0.000    0.000 _exceptions.py:80(_UFuncInputCastingError)
        1    0.000    0.000    0.000    0.000 _exceptions.py:98(_UFuncOutputCastingError)
        1    0.000    0.000    0.000    0.000 _expired_attrs_2_0.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _expm_frechet.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _expm_multiply.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _expm_multiply.py:396(LazyOperatorNormInfo)
        1    0.000    0.000    0.000    0.000 _extract.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _factories.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _factories.py:13(__call__)
        1    0.000    0.000    0.000    0.000 _factories.py:19(_TzFactory)
        1    0.000    0.000    0.000    0.000 _factories.py:25(_TzOffsetFactory)
        1    0.000    0.000    0.000    0.000 _factories.py:26(__init__)
        1    0.000    0.000    0.000    0.000 _factories.py:55(_TzStrFactory)
        1    0.000    0.000    0.000    0.000 _factories.py:56(__init__)
        1    0.000    0.000    0.000    0.000 _factories.py:8(_TzSingleton)
        1    0.000    0.000    0.000    0.000 _factories.py:9(__init__)
        1    0.000    0.000    0.000    0.000 _fft.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _fftlog.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _fftlog_backend.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _filter_design.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _filter_design.py:33(BadCoefficients)
        1    0.000    0.000    0.003    0.003 _filters.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _finite_differences.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _fir_filter_design.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _fit.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _fit.py:41(FitResult)
        1    0.000    0.000    0.000    0.000 _fitpack2.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _fitpack2.py:1189(BivariateSpline)
        1    0.000    0.000    0.000    0.000 _fitpack2.py:1328(_DerivedBivariateSpline)
        1    0.000    0.000    0.000    0.000 _fitpack2.py:1355(SmoothBivariateSpline)
        1    0.000    0.000    0.000    0.000 _fitpack2.py:1454(LSQBivariateSpline)
        1    0.000    0.000    0.000    0.000 _fitpack2.py:1554(RectBivariateSpline)
        1    0.000    0.000    0.000    0.000 _fitpack2.py:1667(SphereBivariateSpline)
        1    0.000    0.000    0.000    0.000 _fitpack2.py:1834(SmoothSphereBivariateSpline)
        1    0.000    0.000    0.000    0.000 _fitpack2.py:1976(LSQSphereBivariateSpline)
        1    0.000    0.000    0.000    0.000 _fitpack2.py:2160(RectSphereBivariateSpline)
        1    0.000    0.000    0.000    0.000 _fitpack2.py:658(InterpolatedUnivariateSpline)
        1    0.000    0.000    0.000    0.000 _fitpack2.py:73(UnivariateSpline)
        1    0.000    0.000    0.000    0.000 _fitpack2.py:780(LSQUnivariateSpline)
        1    0.000    0.000    0.000    0.000 _fitpack2.py:928(_BivariateSplineBase)
        1    0.000    0.000    0.000    0.000 _fitpack_impl.py:1(<module>)
        1    0.000    0.000    0.033    0.033 _fitpack_py.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _fitpack_repro.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _fitpack_repro.py:413(F)
        1    0.000    0.000    0.000    0.000 _fitpack_repro.py:534(Bunch)
        1    0.000    0.000    0.030    0.030 _fontconfig_pattern.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _fontconfig_pattern.py:55(_make_fontconfig_parser)
        3    0.000    0.000    0.001    0.000 _fontconfig_pattern.py:57(comma_separated)
       10    0.000    0.000    0.004    0.000 _fontconfig_pattern.py:77(parse_fontconfig_pattern)
        1    0.000    0.000    0.000    0.000 _fourier.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _funcs.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _function_base_impl.py:1(<module>)
        4    0.000    0.000    0.000    0.000 _function_base_impl.py:1846(_arg_trim_zeros)
        4    0.000    0.000    0.000    0.000 _function_base_impl.py:1885(_trim_zeros)
        4    0.000    0.000    0.000    0.000 _function_base_impl.py:1889(trim_zeros)
        1    0.000    0.000    0.000    0.000 _function_base_impl.py:2265(_get_vectorize_dtype)
        1    0.000    0.000    0.000    0.000 _function_base_impl.py:2271(vectorize)
      535    0.001    0.000    0.001    0.000 _function_base_impl.py:2435(__init__)
        1    0.000    0.000    0.000    0.000 _function_base_impl.py:2464(<listcomp>)
      485    0.000    0.000    0.000    0.000 _function_base_impl.py:339(iterable)
        1    0.000    0.000    0.000    0.000 _functools.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _functools.py:6(method_cache)
       18    0.000    0.000    0.003    0.000 _functools.py:75(wrapper)
        1    0.000    0.000    0.000    0.000 _functools.py:83(<lambda>)
        1    0.000    0.000    0.000    0.000 _gauss_kronrod.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _gauss_kronrod.py:9(GaussKronrodQuadrature)
        1    0.000    0.000    0.000    0.000 _gauss_legendre.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _gauss_legendre.py:10(GaussLegendreQuadrature)
        1    0.000    0.000    0.000    0.000 _gcrotmk.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _genz_malik.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _genz_malik.py:11(GenzMalikCubature)
        1    0.000    0.000    0.010    0.010 _geometric_slerp.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _globals.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _globals.py:32(_NoValueType)
        1    0.000    0.000    0.000    0.000 _globals.py:52(__new__)
       11    0.000    0.000    0.000    0.000 _globals.py:58(__repr__)
        1    0.000    0.000    0.000    0.000 _globals.py:65(_CopyMode)
        2    0.000    0.000    0.001    0.001 _helper.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _helpers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _helpers.py:583(_dask_device)
        1    0.000    0.000    0.000    0.000 _hessian_update_strategy.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _hessian_update_strategy.py:107(FullHessianUpdateStrategy)
        1    0.000    0.000    0.000    0.000 _hessian_update_strategy.py:11(HessianUpdateStrategy)
        1    0.000    0.000    0.000    0.000 _hessian_update_strategy.py:285(BFGS)
        1    0.000    0.000    0.000    0.000 _hessian_update_strategy.py:425(SR1)
        1    0.000    0.000    0.004    0.004 _highs_wrapper.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _histograms_impl.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _hypotests.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _hypotests.py:1188(BoschlooExactResult)
        1    0.000    0.000    0.000    0.000 _hypotests.py:1702(TukeyHSDResult)
        1    0.000    0.000    0.000    0.000 _hypotests.py:356(CramerVonMisesResult)
        1    0.000    0.000    0.000    0.000 _hypotests.py:705(SomersDResult)
        1    0.000    0.000    0.000    0.000 _hypotests.py:917(BarnardExactResult)
        1    0.000    0.000    0.001    0.001 _identifier.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _index.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _index.py:25(IndexMixin)
        1    0.000    0.000    0.020    0.020 _index_tricks_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _index_tricks_impl.py:110(nd_grid)
        2    0.000    0.000    0.000    0.000 _index_tricks_impl.py:146(__init__)
        1    0.000    0.000    0.000    0.000 _index_tricks_impl.py:214(MGridClass)
        1    0.000    0.000    0.000    0.000 _index_tricks_impl.py:269(__init__)
        1    0.000    0.000    0.000    0.000 _index_tricks_impl.py:276(OGridClass)
        1    0.000    0.000    0.000    0.000 _index_tricks_impl.py:321(__init__)
        1    0.000    0.000    0.000    0.000 _index_tricks_impl.py:328(AxisConcatenator)
        3    0.000    0.000    0.000    0.000 _index_tricks_impl.py:340(__init__)
        1    0.000    0.000    0.000    0.000 _index_tricks_impl.py:455(RClass)
        1    0.000    0.000    0.000    0.000 _index_tricks_impl.py:552(__init__)
        1    0.000    0.000    0.000    0.000 _index_tricks_impl.py:559(CClass)
        1    0.000    0.000    0.000    0.000 _index_tricks_impl.py:586(__init__)
        1    0.000    0.000    0.000    0.000 _index_tricks_impl.py:593(ndenumerate)
        1    0.000    0.000    0.000    0.000 _index_tricks_impl.py:643(ndindex)
        1    0.000    0.000    0.000    0.000 _index_tricks_impl.py:744(IndexExpression)
        2    0.000    0.000    0.000    0.000 _index_tricks_impl.py:791(__init__)
        1    0.000    0.000    0.000    0.000 _info.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _info.py:29(__array_namespace_info__)
        1    0.000    0.000    0.000    0.000 _input_validation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _inspect.py:1(<module>)
      553    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
       95    0.000    0.000    0.000    0.000 _inspect.py:131(strseq)
       30    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
        4    0.000    0.000    0.000    0.000 _inspect.py:142(<lambda>)
        5    0.000    0.000    0.000    0.000 _inspect.py:143(<lambda>)
       63    0.000    0.000    0.000    0.000 _inspect.py:144(<lambda>)
      553    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
      534    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
      534    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
      553    0.000    0.000    0.002    0.000 _inspect.py:96(getargspec)
        1    0.000    0.000    0.000    0.000 _interface.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _interface.py:55(LinearOperator)
        1    0.000    0.000    0.000    0.000 _interface.py:594(_CustomLinearOperator)
        1    0.000    0.000    0.000    0.000 _interface.py:640(_AdjointLinearOperator)
        1    0.000    0.000    0.000    0.000 _interface.py:661(_TransposedLinearOperator)
        1    0.000    0.000    0.000    0.000 _interface.py:693(_SumLinearOperator)
        1    0.000    0.000    0.000    0.000 _interface.py:720(_ProductLinearOperator)
        1    0.000    0.000    0.000    0.000 _interface.py:748(_ScaledLinearOperator)
        1    0.000    0.000    0.000    0.000 _interface.py:782(_PowerLinearOperator)
        1    0.000    0.000    0.000    0.000 _interface.py:817(MatrixLinearOperator)
        1    0.000    0.000    0.000    0.000 _interface.py:833(_AdjointMatrixOperator)
        1    0.000    0.000    0.000    0.000 _interface.py:847(IdentityOperator)
        2    0.000    0.000    0.002    0.001 _internal.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _internal.py:210(dummy_ctype)
        1    0.000    0.000    0.000    0.000 _internal.py:227(_getintp_ctype)
       61    0.000    0.000    0.002    0.000 _internal.py:25(inner)
        1    0.000    0.000    0.000    0.000 _internal.py:252(_missing_ctypes)
        1    0.000    0.000    0.000    0.000 _internal.py:256(c_void_p)
        1    0.000    0.000    0.000    0.000 _internal.py:261(_ctypes)
       61    0.000    0.000    0.000    0.000 _internal.py:32(<listcomp>)
        1    0.000    0.000    0.000    0.000 _internal.py:630(_Stream)
       61    0.000    0.000    0.000    0.000 _internal.py:8(get_xp)
       50    0.000    0.000    0.000    0.000 _internal.py:893(_ufunc_doc_signature_formatter)
       78    0.000    0.000    0.000    0.000 _internal.py:904(<genexpr>)
       13    0.000    0.000    0.000    0.000 _internal.py:941(npy_ctypes_check)
        1    0.000    0.000    0.034    0.034 _interpolate.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _interpolate.py:108(interp2d)
        1    0.000    0.000    0.000    0.000 _interpolate.py:1262(BPoly)
        1    0.000    0.000    0.000    0.000 _interpolate.py:132(_check_broadcast_up_to)
        1    0.000    0.000    0.000    0.000 _interpolate.py:148(_do_extrapolate)
        1    0.000    0.000    0.000    0.000 _interpolate.py:154(interp1d)
        1    0.000    0.000    0.000    0.000 _interpolate.py:1818(NdPPoly)
        1    0.000    0.000    0.000    0.000 _interpolate.py:263(__init__)
        1    0.000    0.000    0.000    0.000 _interpolate.py:416(fill_value)
        1    0.000    0.000    0.000    0.000 _interpolate.py:574(_PPolyBase)
        1    0.000    0.000    0.000    0.000 _interpolate.py:798(PPoly)
        1    0.000    0.000    0.001    0.001 _interpolation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:132(LineSplitter)
        1    0.000    0.000    0.000    0.000 _iotools.py:228(NameValidator)
        1    0.000    0.000    0.000    0.000 _iotools.py:422(ConverterError)
        1    0.000    0.000    0.000    0.000 _iotools.py:430(ConverterLockError)
        1    0.000    0.000    0.000    0.000 _iotools.py:438(ConversionWarning)
        1    0.000    0.000    0.000    0.000 _iotools.py:451(StringConverter)
        1    0.000    0.000    0.000    0.000 _isocbind.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _isotonic.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _itertools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _kde.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _kde.py:43(gaussian_kde)
        1    0.000    0.000    0.089    0.089 _kdtree.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _kdtree.py:206(KDTree)
        1    0.000    0.000    0.000    0.000 _kdtree.py:287(node)
        1    0.000    0.000    0.000    0.000 _kdtree.py:318(leafnode)
        1    0.000    0.000    0.000    0.000 _kdtree.py:327(innernode)
        1    0.000    0.000    0.000    0.000 _kdtree.py:98(Rectangle)
        1    0.000    0.000    0.000    0.000 _ksstats.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _lambertw.py:1(<module>)
        1    0.000    0.000    0.026    0.026 _laplacian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _layoutgrid.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _layoutgrid.py:31(LayoutGrid)
        1    0.000    0.000    0.000    0.000 _lbfgsb_py.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _lbfgsb_py.py:485(LbfgsInvHessProduct)
        1    0.000    0.000    0.000    0.000 _lebedev.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _lil.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _lil.py:20(_lil_base)
        1    0.000    0.000    0.000    0.000 _lil.py:505(lil_array)
        1    0.000    0.000    0.000    0.000 _lil.py:570(lil_matrix)
        2    0.000    0.000    0.017    0.009 _linalg.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _linalg.py:26(EighResult)
        1    0.000    0.000    0.000    0.000 _linalg.py:30(QRResult)
        1    0.000    0.000    0.000    0.000 _linalg.py:34(SlogdetResult)
        1    0.000    0.000    0.000    0.000 _linalg.py:38(SVDResult)
        1    0.000    0.000    0.000    0.000 _linalg.py:43(EigResult)
        1    0.000    0.000    0.000    0.000 _linalg.py:47(EighResult)
        1    0.000    0.000    0.000    0.000 _linalg.py:51(QRResult)
        1    0.000    0.000    0.000    0.000 _linalg.py:55(SlogdetResult)
        1    0.000    0.000    0.000    0.000 _linalg.py:59(SVDResult)
        1    0.000    0.000    0.000    0.000 _linalg.py:73(LinAlgError)
        1    0.000    0.000    0.000    0.000 _linesearch.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _linesearch.py:23(LineSearchWarning)
        1    0.000    0.000    0.007    0.007 _linprog.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _linprog_doc.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _linprog_highs.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _linprog_ip.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _linprog_rs.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _linprog_simplex.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _linprog_util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _logsumexp.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _lti_conversion.py:1(<module>)
        1    0.000    0.000    0.039    0.039 _ltisys.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _ltisys.py:1081(ZerosPolesGainContinuous)
        1    0.000    0.000    0.000    0.000 _ltisys.py:1151(ZerosPolesGainDiscrete)
        1    0.000    0.000    0.000    0.000 _ltisys.py:1221(StateSpace)
        1    0.000    0.000    0.000    0.000 _ltisys.py:132(lti)
        1    0.000    0.000    0.000    0.000 _ltisys.py:1625(StateSpaceContinuous)
        1    0.000    0.000    0.000    0.000 _ltisys.py:1699(StateSpaceDiscrete)
        1    0.000    0.000    0.000    0.000 _ltisys.py:2295(Bunch)
        1    0.000    0.000    0.000    0.000 _ltisys.py:299(dlti)
        1    0.000    0.000    0.000    0.000 _ltisys.py:46(LinearTimeInvariant)
        1    0.000    0.000    0.000    0.000 _ltisys.py:490(TransferFunction)
        1    0.000    0.000    0.000    0.000 _ltisys.py:737(TransferFunctionContinuous)
        1    0.000    0.000    0.000    0.000 _ltisys.py:814(TransferFunctionDiscrete)
        1    0.000    0.000    0.000    0.000 _ltisys.py:879(ZerosPolesGain)
        1    0.000    0.000    0.000    0.000 _machar.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _machar.py:17(MachAr)
        1    0.000    0.000    0.001    0.001 _mannwhitneyu.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _mannwhitneyu.py:21(_MWU)
        2    0.000    0.000    0.002    0.001 _matfuncs.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _matfuncs.py:171(MatrixPowerOperator)
        1    0.000    0.000    0.000    0.000 _matfuncs.py:207(ProductOperator)
        1    0.000    0.000    0.000    0.000 _matfuncs.py:337(_ExpmPadeHelper)
        1    0.000    0.000    0.001    0.001 _matfuncs_sqrtm.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _matfuncs_sqrtm.py:21(SqrtmError)
        1    0.000    0.000    0.001    0.001 _mathtext.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _mathtext.py:1010(Node)
        1    0.000    0.000    0.000    0.000 _mathtext.py:1033(Box)
        1    0.000    0.000    0.000    0.000 _mathtext.py:1054(Vbox)
        1    0.000    0.000    0.000    0.000 _mathtext.py:1061(Hbox)
        1    0.000    0.000    0.000    0.000 _mathtext.py:1068(Char)
        1    0.000    0.000    0.000    0.000 _mathtext.py:1139(Accent)
        1    0.000    0.000    0.000    0.000 _mathtext.py:1162(List)
        1    0.000    0.000    0.000    0.000 _mathtext.py:120(Output)
        1    0.000    0.000    0.000    0.000 _mathtext.py:1206(Hlist)
        1    0.000    0.000    0.000    0.000 _mathtext.py:1308(Vlist)
        1    0.000    0.000    0.000    0.000 _mathtext.py:1390(Rule)
        1    0.000    0.000    0.000    0.000 _mathtext.py:1410(Hrule)
        1    0.000    0.000    0.000    0.000 _mathtext.py:1420(Vrule)
        1    0.000    0.000    0.000    0.000 _mathtext.py:1428(_GlueSpec)
        1    0.000    0.000    0.000    0.000 _mathtext.py:1448(Glue)
        1    0.000    0.000    0.000    0.000 _mathtext.py:1476(HCentered)
        1    0.000    0.000    0.000    0.000 _mathtext.py:1486(VCentered)
        1    0.000    0.000    0.000    0.000 _mathtext.py:1496(Kern)
        1    0.000    0.000    0.000    0.000 _mathtext.py:1523(AutoHeightChar)
        1    0.000    0.000    0.000    0.000 _mathtext.py:1563(AutoWidthChar)
        1    0.000    0.000    0.000    0.000 _mathtext.py:1751(ParserState)
        1    0.000    0.000    0.000    0.000 _mathtext.py:179(FontMetrics)
        1    0.000    0.000    0.000    0.000 _mathtext.py:1814(Parser)
        1    0.000    0.000    0.000    0.000 _mathtext.py:1823(_MathStyle)
        1    0.000    0.000    0.000    0.000 _mathtext.py:1969(<listcomp>)
        1    0.000    0.000    0.000    0.000 _mathtext.py:211(FontInfo)
        1    0.000    0.000    0.000    0.000 _mathtext.py:221(Fonts)
        1    0.000    0.000    0.000    0.000 _mathtext.py:329(TruetypeFonts)
        1    0.000    0.000    0.000    0.000 _mathtext.py:434(BakomaFonts)
