         2011094 function calls (1975504 primitive calls) in 3.133 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1781    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      131    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1628(path_hook_for_FileFinder)
      135    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
     1487    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
     2452    0.005    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
     1356    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
     1226    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
     1226    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
     1226    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
     1226    0.002    0.000    0.076    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
     2100    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
     1356    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
     3678    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
     1226    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
   1226/6    0.002    0.000    0.868    0.145 <frozen importlib._bootstrap_external>:877(exec_module)
     1226    0.005    0.000    0.115    0.000 <frozen importlib._bootstrap_external>:950(get_code)
      131    0.000    0.000    0.001    0.000 <frozen zipimport>:64(__init__)
        4    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(__create_fn__)
      486    0.000    0.000    0.000    0.000 <string>:2(__init__)
        1    0.000    0.000    0.000    0.000 ElementPath.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ElementPath.py:350(_SelectorContext)
        1    0.000    0.000    0.001    0.001 ElementTree.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:106(ParseError)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1109(_ListDataStream)
        1    0.000    0.000    0.000    0.000 ElementTree.py:125(Element)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1276(XMLPullParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1388(TreeBuilder)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1510(XMLParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1771(C14NWriterTarget)
        1    0.000    0.000    0.000    0.000 ElementTree.py:477(QName)
        1    0.000    0.000    0.000    0.000 ElementTree.py:525(ElementTree)
        1    0.000    0.000    0.007    0.007 ExifTags.py:1(<module>)
        1    0.000    0.000    0.002    0.002 ExifTags.py:21(Base)
        1    0.000    0.000    0.000    0.000 ExifTags.py:295(<dictcomp>)
        1    0.000    0.000    0.000    0.000 ExifTags.py:305(GPS)
        1    0.000    0.000    0.000    0.000 ExifTags.py:341(<dictcomp>)
        1    0.000    0.000    0.000    0.000 ExifTags.py:344(Interop)
        1    0.000    0.000    0.000    0.000 ExifTags.py:352(IFD)
        1    0.000    0.000    0.000    0.000 ExifTags.py:361(LightSource)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:115(GimpGradientFile)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:67(GradientFile)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:23(GimpPaletteFile)
        1    0.000    0.000    0.012    0.012 Image.py:1(<module>)
        1    0.000    0.000    0.000    0.000 Image.py:138(Transpose)
        1    0.000    0.000    0.000    0.000 Image.py:149(Transform)
        1    0.000    0.000    0.000    0.000 Image.py:158(Resampling)
        1    0.000    0.000    0.000    0.000 Image.py:177(Dither)
        1    0.000    0.000    0.000    0.000 Image.py:185(Palette)
        1    0.000    0.000    0.000    0.000 Image.py:190(Quantize)
        1    0.000    0.000    0.000    0.000 Image.py:3009(ImagePointHandler)
        1    0.000    0.000    0.000    0.000 Image.py:3020(ImageTransformHandler)
        1    0.000    0.000    0.000    0.000 Image.py:3219(SupportsArrayInterface)
        1    0.000    0.000    0.000    0.000 Image.py:3229(SupportsArrowArrayInterface)
        1    0.000    0.000    0.000    0.000 Image.py:3681(register_open)
        1    0.000    0.000    0.000    0.000 Image.py:3704(register_mime)
        1    0.000    0.000    0.000    0.000 Image.py:3719(register_save)
        1    0.000    0.000    0.000    0.000 Image.py:3732(register_save_all)
        2    0.000    0.000    0.000    0.000 Image.py:3746(register_extension)
        1    0.000    0.000    0.000    0.000 Image.py:3757(register_extensions)
        1    0.000    0.000    0.000    0.000 Image.py:3866(_apply_env_variables)
        1    0.000    0.000    0.000    0.000 Image.py:3907(Exif)
        1    0.000    0.000    0.000    0.000 Image.py:468(ImagePointTransform)
        1    0.000    0.000    0.000    0.000 Image.py:521(SupportsGetData)
        1    0.000    0.000    0.000    0.000 Image.py:527(Image)
        1    0.000    0.000    0.000    0.000 Image.py:70(DecompressionBombWarning)
        1    0.000    0.000    0.000    0.000 Image.py:74(DecompressionBombError)
        1    0.000    0.000    0.000    0.000 ImageChops.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ImageColor.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ImageFile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ImageFile.py:101(_Tile)
        1    0.000    0.000    0.000    0.000 ImageFile.py:113(ImageFile)
        1    0.000    0.000    0.000    0.000 ImageFile.py:448(StubHandler)
        1    0.000    0.000    0.000    0.000 ImageFile.py:457(StubImageFile)
        1    0.000    0.000    0.000    0.000 ImageFile.py:487(Parser)
        1    0.000    0.000    0.000    0.000 ImageFile.py:722(PyCodecState)
        1    0.000    0.000    0.000    0.000 ImageFile.py:733(PyCodec)
        1    0.000    0.000    0.000    0.000 ImageFile.py:811(PyDecoder)
        1    0.000    0.000    0.000    0.000 ImageFile.py:865(PyEncoder)
        1    0.000    0.000    0.000    0.000 ImageMode.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ImageMode.py:24(ModeDescriptor)
        1    0.000    0.000    0.001    0.001 ImagePalette.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ImagePalette.py:31(ImagePalette)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:24(Iterator)
        1    0.000    0.000    0.000    0.000 PaletteFile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 PaletteFile.py:22(PaletteFile)
        1    0.000    0.000    0.003    0.003 PngImagePlugin.py:1(<module>)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:106(Disposal)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:1128(_idat)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:1139(_fdat)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:1152(_Frame)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:127(Blend)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:158(ChunkStream)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:252(iTXt)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:279(PngInfo)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:375(_RewindState)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:381(PngStream)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:752(PngImageFile)
        1    0.000    0.000    0.001    0.001 TiffTags.py:1(<module>)
        1    0.000    0.000    0.000    0.000 TiffTags.py:24(_TagInfo)
        1    0.000    0.000    0.000    0.000 TiffTags.py:32(TagInfo)
      147    0.000    0.000    0.000    0.000 TiffTags.py:35(__new__)
        1    0.000    0.000    0.000    0.000 TiffTags.py:439(_populate)
        3    0.000    0.000    0.000    0.000 TiffTags.py:450(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __about__.py:1(<module>)
        2    0.000    0.000    0.023    0.012 __config__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __config__.py:101(<listcomp>)
        1    0.000    0.000    0.000    0.000 __config__.py:104(<listcomp>)
        1    0.000    0.000    0.000    0.000 __config__.py:14(DisplayModes)
    429/1    0.000    0.000    0.000    0.000 __config__.py:14(_cleanup)
    347/1    0.000    0.000    0.000    0.000 __config__.py:19(_cleanup)
     49/1    0.000    0.000    0.000    0.000 __config__.py:20(<dictcomp>)
     39/1    0.000    0.000    0.000    0.000 __config__.py:25(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __config__.py:9(DisplayModes)
       50    0.000    0.000    0.000    0.000 __editable___stl_tool_0_0_finder.py:15(find_spec)
      135    0.003    0.000    2.865    0.021 __init__.py:1(<module>)
        6    0.000    0.000    0.000    0.000 __init__.py:100(check_in_list)
      813    0.000    0.000    0.000    0.000 __init__.py:1000(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:1012(<dictcomp>)
        7    0.000    0.000    0.000    0.000 __init__.py:102(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:105(DgpCanonMethods)
        1    0.000    0.000    0.000    0.000 __init__.py:1057(StreamHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:106(__version__)
        1    0.000    0.000    0.000    0.000 __init__.py:1066(__init__)
       48    0.000    0.000    0.035    0.001 __init__.py:108(import_module)
        1    0.000    0.000    0.000    0.000 __init__.py:11(DeprecatedTzFormatWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:1140(FileHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1156(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:1159(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:118(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:119(Cycler)
        2    0.000    0.000    0.000    0.000 __init__.py:12(<listcomp>)
        2    0.000    0.000    0.001    0.001 __init__.py:12(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:121(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:1225(_StderrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1231(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1232(levy_stable_frozen)
        1    0.000    0.000    0.000    0.000 __init__.py:124(EntryPoint)
        1    0.000    0.000    0.000    0.000 __init__.py:1249(PlaceHolder)
       12    0.000    0.000    0.000    0.000 __init__.py:1255(__init__)
       11    0.000    0.000    0.000    0.000 __init__.py:1261(append)
        1    0.000    0.000    0.000    0.000 __init__.py:1291(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1296(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:13(MSKException)
        2    0.000    0.000    0.000    0.000 __init__.py:1307(disable)
        1    0.000    0.000    0.000    0.000 __init__.py:1311(disable)
       37    0.000    0.000    0.000    0.000 __init__.py:1315(getLogger)
       33    0.000    0.000    0.032    0.001 __init__.py:132(__getattr__)
       22    0.000    0.000    0.000    0.000 __init__.py:133(check_shape)
